=== 服务器启动 ===
[2025-07-24 11:24:22.996] 服务器已初始化，准备接收0-999共1000个音频块
[2025-07-24 11:24:22.997] ASR流服务器已在 0.0.0.0:8000 启动
[2025-07-24 11:24:22.998] 接收路径格式: /api/v1/asr/stream/[块编号] (0-999)
[2025-07-24 11:24:22.999] 输出文件: received_audio.pcm, 日志文件: stream_server.log
[2025-07-24 11:24:38.761] 请求 #27 - 块 26, 大小: 6400 bytes, 数据哈希: af64602d
[2025-07-24 11:24:38.772] 请求 #27 - 块 26 已写入 (版本 1), 位置: 166400, 已接收: 27/1000 (2.7%)
[2025-07-24 11:24:38.822] 请求 #28 (ID: 69303d8f) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/27
[2025-07-24 11:24:38.914] 请求 #28 - 块 27, 大小: 6400 bytes, 数据哈希: cf7d216b
[2025-07-24 11:24:38.930] 请求 #28 - 块 27 已写入 (版本 1), 位置: 172800, 已接收: 28/1000 (2.8%)
[2025-07-24 11:24:38.989] 请求 #29 (ID: 91a3b601) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/28
[2025-07-24 11:24:39.059] 请求 #29 - 块 28, 大小: 6400 bytes, 数据哈希: c357e6a4
[2025-07-24 11:24:39.072] 请求 #29 - 块 28 已写入 (版本 1), 位置: 179200, 已接收: 29/1000 (2.9%)
[2025-07-24 11:24:39.108] 请求 #30 (ID: 01ab2f4c) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/29
[2025-07-24 11:24:39.167] 请求 #30 - 块 29, 大小: 6400 bytes, 数据哈希: 6b82c67f
[2025-07-24 11:24:39.179] 请求 #30 - 块 29 已写入 (版本 1), 位置: 185600, 已接收: 30/1000 (3.0%)
[2025-07-24 11:24:39.224] 请求 #31 (ID: 586f15be) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/30
[2025-07-24 11:24:39.293] 请求 #31 - 块 30, 大小: 6400 bytes, 数据哈希: 41e3426c
[2025-07-24 11:24:39.308] 请求 #31 - 块 30 已写入 (版本 1), 位置: 192000, 已接收: 31/1000 (3.1%)
[2025-07-24 11:24:39.341] 请求 #32 (ID: 8109e70d) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/31
[2025-07-24 11:24:39.400] 请求 #32 - 块 31, 大小: 6400 bytes, 数据哈希: a8caf7a2
[2025-07-24 11:24:39.419] 请求 #32 - 块 31 已写入 (版本 1), 位置: 198400, 已接收: 32/1000 (3.2%)
[2025-07-24 11:24:39.569] 请求 #33 (ID: 8d603b31) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/32
[2025-07-24 11:24:39.571] 请求 #33 - 块 32, 大小: 6400 bytes, 数据哈希: 84419551
[2025-07-24 11:24:39.588] 请求 #33 - 块 32 已写入 (版本 1), 位置: 204800, 已接收: 33/1000 (3.3%)
[2025-07-24 11:24:39.630] 请求 #34 (ID: 5119d30e) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/33
[2025-07-24 11:24:39.694] 请求 #34 - 块 33, 大小: 6400 bytes, 数据哈希: bbae58f3
[2025-07-24 11:24:39.709] 请求 #34 - 块 33 已写入 (版本 1), 位置: 211200, 已接收: 34/1000 (3.4%)
[2025-07-24 11:24:39.751] 请求 #35 (ID: dd71ab38) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/34
[2025-07-24 11:24:39.824] 请求 #35 - 块 34, 大小: 6400 bytes, 数据哈希: 2ce77808
[2025-07-24 11:24:39.840] 请求 #35 - 块 34 已写入 (版本 1), 位置: 217600, 已接收: 35/1000 (3.5%)
[2025-07-24 11:24:39.873] 请求 #36 (ID: 08eb39f0) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/35
[2025-07-24 11:24:39.939] 请求 #36 - 块 35, 大小: 6400 bytes, 数据哈希: f7318cda
[2025-07-24 11:24:39.954] 请求 #36 - 块 35 已写入 (版本 1), 位置: 224000, 已接收: 36/1000 (3.6%)
[2025-07-24 11:24:40.125] 请求 #37 (ID: e955dfc7) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/36
[2025-07-24 11:24:40.128] 请求 #37 - 块 36, 大小: 6400 bytes, 数据哈希: 09a5e3d6
[2025-07-24 11:24:40.149] 请求 #37 - 块 36 已写入 (版本 1), 位置: 230400, 已接收: 37/1000 (3.7%)
[2025-07-24 11:24:40.211] 请求 #38 (ID: 702b0780) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/37
[2025-07-24 11:24:40.279] 请求 #38 - 块 37, 大小: 6400 bytes, 数据哈希: 5934afa9
[2025-07-24 11:24:40.293] 请求 #38 - 块 37 已写入 (版本 1), 位置: 236800, 已接收: 38/1000 (3.8%)
[2025-07-24 11:24:40.325] 请求 #39 (ID: 11875d73) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/38
[2025-07-24 11:24:40.385] 请求 #39 - 块 38, 大小: 6400 bytes, 数据哈希: 8f8e7e87
[2025-07-24 11:24:40.400] 请求 #39 - 块 38 已写入 (版本 1), 位置: 243200, 已接收: 39/1000 (3.9%)
[2025-07-24 11:24:40.448] 请求 #40 (ID: 42071451) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/39
[2025-07-24 11:24:40.506] 请求 #40 - 块 39, 大小: 6400 bytes, 数据哈希: 082ec007
[2025-07-24 11:24:40.521] 请求 #40 - 块 39 已写入 (版本 1), 位置: 249600, 已接收: 40/1000 (4.0%)
[2025-07-24 11:24:40.679] 请求 #41 (ID: baeb231d) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/40
[2025-07-24 11:24:40.681] 请求 #41 - 块 40, 大小: 6400 bytes, 数据哈希: 88cfd3e2
[2025-07-24 11:24:40.698] 请求 #41 - 块 40 已写入 (版本 1), 位置: 256000, 已接收: 41/1000 (4.1%)
[2025-07-24 11:24:40.736] 请求 #42 (ID: 73756682) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/41
[2025-07-24 11:24:40.801] 请求 #42 - 块 41, 大小: 6400 bytes, 数据哈希: 26977f2c
[2025-07-24 11:24:40.818] 请求 #42 - 块 41 已写入 (版本 1), 位置: 262400, 已接收: 42/1000 (4.2%)
[2025-07-24 11:24:40.856] 请求 #43 (ID: 39851691) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/42
[2025-07-24 11:24:40.934] 请求 #43 - 块 42, 大小: 6400 bytes, 数据哈希: d2fc5994
[2025-07-24 11:24:40.951] 请求 #43 - 块 42 已写入 (版本 1), 位置: 268800, 已接收: 43/1000 (4.3%)
[2025-07-24 11:24:40.974] 请求 #44 (ID: b107a5aa) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/43
[2025-07-24 11:24:41.032] 请求 #44 - 块 43, 大小: 6400 bytes, 数据哈希: 915a43e9
[2025-07-24 11:24:41.051] 请求 #44 - 块 43 已写入 (版本 1), 位置: 275200, 已接收: 44/1000 (4.4%)
[2025-07-24 11:24:41.092] 请求 #45 (ID: 68662dc6) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/44
[2025-07-24 11:24:41.162] 请求 #45 - 块 44, 大小: 6400 bytes, 数据哈希: 117d6c08
[2025-07-24 11:24:41.187] 请求 #45 - 块 44 已写入 (版本 1), 位置: 281600, 已接收: 45/1000 (4.5%)
[2025-07-24 11:24:41.275] 请求 #46 (ID: 04c5d8b5) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/45
[2025-07-24 11:24:41.339] 请求 #46 - 块 45, 大小: 6400 bytes, 数据哈希: 9259f5db
[2025-07-24 11:24:41.361] 请求 #46 - 块 45 已写入 (版本 1), 位置: 288000, 已接收: 46/1000 (4.6%)
[2025-07-24 11:24:41.393] 请求 #47 (ID: b420566a) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/46
[2025-07-24 11:24:41.465] 请求 #47 - 块 46, 大小: 6400 bytes, 数据哈希: 6c92bdef
[2025-07-24 11:24:41.485] 请求 #47 - 块 46 已写入 (版本 1), 位置: 294400, 已接收: 47/1000 (4.7%)
[2025-07-24 11:24:41.514] 请求 #48 (ID: c35199bb) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/47
[2025-07-24 11:24:41.584] 请求 #48 - 块 47, 大小: 6400 bytes, 数据哈希: 0b7f080a
[2025-07-24 11:24:41.602] 请求 #48 - 块 47 已写入 (版本 1), 位置: 300800, 已接收: 48/1000 (4.8%)
[2025-07-24 11:24:41.633] 请求 #49 (ID: 34236eac) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/48
[2025-07-24 11:24:41.691] 请求 #49 - 块 48, 大小: 6400 bytes, 数据哈希: e94423e7
[2025-07-24 11:24:41.712] 请求 #49 - 块 48 已写入 (版本 1), 位置: 307200, 已接收: 49/1000 (4.9%)
[2025-07-24 11:24:41.754] 请求 #50 (ID: 1268d2a2) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/49
[2025-07-24 11:24:41.833] 请求 #50 - 块 49, 大小: 6400 bytes, 数据哈希: 4191bd13
[2025-07-24 11:24:41.849] 请求 #50 - 块 49 已写入 (版本 1), 位置: 313600, 已接收: 50/1000 (5.0%)
[2025-07-24 11:24:41.988] 请求 #51 (ID: 9b460473) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/50
[2025-07-24 11:24:41.989] 请求 #51 - 块 50, 大小: 6400 bytes, 数据哈希: 9a9411ca
[2025-07-24 11:24:42.005] 请求 #51 - 块 50 已写入 (版本 1), 位置: 320000, 已接收: 51/1000 (5.1%)
[2025-07-24 11:24:42.041] 请求 #52 (ID: ddbc81ae) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/51
[2025-07-24 11:24:42.112] 请求 #52 - 块 51, 大小: 6400 bytes, 数据哈希: 36ebc4c1
[2025-07-24 11:24:42.131] 请求 #52 - 块 51 已写入 (版本 1), 位置: 326400, 已接收: 52/1000 (5.2%)
[2025-07-24 11:24:42.162] 请求 #53 (ID: 7cf5e7e1) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/52
[2025-07-24 11:24:42.222] 请求 #53 - 块 52, 大小: 6400 bytes, 数据哈希: 6f59347b
[2025-07-24 11:24:42.235] 请求 #53 - 块 52 已写入 (版本 1), 位置: 332800, 已接收: 53/1000 (5.3%)
[2025-07-24 11:24:42.282] 请求 #54 (ID: 08e4caf0) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/53
[2025-07-24 11:24:42.345] 请求 #54 - 块 53, 大小: 6400 bytes, 数据哈希: e1805344
[2025-07-24 11:24:42.356] 请求 #54 - 块 53 已写入 (版本 1), 位置: 339200, 已接收: 54/1000 (5.4%)
[2025-07-24 11:24:42.398] 请求 #55 (ID: 7350a826) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/54
[2025-07-24 11:24:42.511] 请求 #55 - 块 54, 大小: 6400 bytes, 数据哈希: 52bdb7f5
[2025-07-24 11:24:42.530] 请求 #55 - 块 54 已写入 (版本 1), 位置: 345600, 已接收: 55/1000 (5.5%)
[2025-07-24 11:24:42.570] 请求 #56 (ID: 261c3dfc) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/55
[2025-07-24 11:24:42.636] 请求 #56 - 块 55, 大小: 6400 bytes, 数据哈希: 323fa9d3
